dcat,records,comment
keyword,keywords
modificationDate,updated
dct:created,created
dct:temporal,time,time is mapped to dct:time in fg-json
dct:type,type,TODO - type mapped to @type constrained to "Feature"?
?,resourceLanguages
dcat:language,languages

